location,size,bhk,total_sqft,tot_sqft,bath,price,house_price,del_by_bath,bhk_blank,bath_blank,price_blank,del_by_sqft
Electronic City Phase II,2 BHK,2,1056 ,1056,2,39.07,3907000,save,FALSE,FALSE,FALSE,save
Uttarahalli,3 BHK,3,1440 ,1440,2,62,6200000,save,FALSE,FALSE,FALSE,save
Lingadheeranahalli,3 BHK,3,1521 ,1521,3,95,9500000,save,FALSE,FALSE,FALSE,save
Kothanur,2 BHK,2,1200 ,1200,2,51,5100000,save,FALSE,FALSE,FALSE,save
Whitefield,2 BHK,2,1170 ,1170,2,38,3800000,save,FALSE,FALSE,FALSE,save
Old Airport Road,4 BHK,4,2732 ,2732,4,204,20400000,save,FALSE,FALSE,FALSE,save
Rajaji Nagar,4 BHK,4,3300 ,3300,4,600,60000000,save,FALSE,FALSE,FALSE,save
Marathahalli,3 BHK,3,1310 ,1310,3,63.25,6325000,save,FALSE,FALSE,FALSE,save
Whitefield,3 BHK,3,1800 ,1800,2,70,7000000,save,FALSE,FALSE,FALSE,save
7th Phase JP Nagar,2 BHK,2,1000 ,1000,2,38,3800000,save,FALSE,FALSE,FALSE,save
Gottigere,2 BHK,2,1100 ,1100,2,40,4000000,save,FALSE,FALSE,FALSE,save
Sarjapur,3 Bedroom,3,2250 ,2250,3,148,14800000,save,FALSE,FALSE,FALSE,save
Mysore Road,2 BHK,2,1175 ,1175,2,73.5,7350000,save,FALSE,FALSE,FALSE,save
Bisuvanahalli,3 BHK,3,1180 ,1180,3,48,4800000,save,FALSE,FALSE,FALSE,save
Raja Rajeshwari Nagar,3 BHK,3,1540 ,1540,3,60,6000000,save,FALSE,FALSE,FALSE,save
Manayata Tech Park,2 BHK,2,1100 ,1100,2,48,4800000,save,FALSE,FALSE,FALSE,save
Kengeri,1 BHK,1,600 ,600,1,15,1500000,save,FALSE,FALSE,FALSE,save
Binny Pete,3 BHK,3,1755 ,1755,3,122,12200000,save,FALSE,FALSE,FALSE,save
Bellandur,3 BHK,3,1767 ,1767,3,103,10300000,save,FALSE,FALSE,FALSE,save
 Thanisandra,1 RK,1,510 ,510,1,25.25,2525000,save,FALSE,FALSE,FALSE,save
Mangammanapalya,3 BHK,3,1250 ,1250,3,56,5600000,save,FALSE,FALSE,FALSE,save
Electronic City,2 BHK,2,660 ,660,1,23.1,2310000,save,FALSE,FALSE,FALSE,save
Whitefield,3 BHK,3,1610 ,1610,3,81,8100000,save,FALSE,FALSE,FALSE,save
Ramagondanahalli,2 BHK,2,1151 ,1151,2,48.77,4877000,save,FALSE,FALSE,FALSE,save
Electronic City,3 BHK,3,1025 ,1025,2,47,4700000,save,FALSE,FALSE,FALSE,save
Yelahanka,4 BHK,4,2100 - 2850,2100,4,186,18600000,save,FALSE,FALSE,FALSE,save
